0.005,52.2
0.01,13.9
0.015,18.9
0.02,9.3
0.025,20.7
0.03,12.6
0.035,26.1
0.04,7.2
0.045,12.5
0.05,9.5
0.055,9.8
0.06,9.2
0.065,7.8
0.07,9.0
0.075,7.8
0.08,8.2
0.085,6.7
0.09,17.8
0.095,12.2
0.1,7.8
0.105,8.0
0.11,10.3
0.115,7.9
0.12,7.6
0.125,9.5
0.13,9.5
0.135,7.5
0.14,9.9
0.145,8.1
0.15,7.9
0.155,8.1
0.16,6.1
0.165,7.7
0.17,9.7
0.175,6.1
0.18,6.7
0.185,6.1
0.19,8.4
0.195,6.9
0.2,5.3
0.205,6.0
0.21,7.9
0.215,6.1
0.22,5.7
0.225,9.0
0.23,7.9
0.235,7.5
0.24,7.5
0.245,10.4
0.25,7.5
0.255,8.9
0.26,7.9
0.265,7.5
0.27,10.4
0.275,8.1
0.28,7.7
0.285,7.4
0.29,10.3
0.295,7.7
0.3,7.0
0.305,15.2
0.31,18.0
0.315,15.0
0.32,17.4
0.325,14.8
0.33,17.7
0.335,15.1
0.34,16.3
0.345,15.4
0.35,13.4
0.355,16.7
0.36,14.4
0.365,14.0
0.37,14.8
0.375,17.6
0.38,15.2
0.385,16.6
0.39,13.5
0.395,15.6
0.4,17.0
0.405,15.6
0.41,16.1
0.415,17.2
0.42,15.2
0.425,16.2
0.43,14.9
0.435,14.7
0.44,18.2
0.445,14.7
0.45,16.3
0.455,14.5
0.46,14.5
0.465,16.4
0.47,15.9
0.475,17.5
0.48,15.0
0.485,15.1
0.49,16.9
0.495,13.8
0.5,14.3
0.505,15.8
0.51,15.0
0.515,17.9
0.52,15.0
0.525,15.0
0.53,17.5
0.535,14.8
0.54,16.5
0.545,16.6
0.55,14.9
0.555,17.3
0.56,12.9
0.565,15.2
0.57,18.0
0.575,14.4
0.58,19.1
0.585,15.1
0.59,15.1
0.595,18.0
0.6,14.7
0.605,29.7
0.61,20.1
0.615,24.1
0.62,22.9
0.625,26.4
0.63,22.2
0.635,21.4
0.64,19.9
0.645,22.3
0.65,20.9
0.655,24.2
0.66,21.2
0.665,18.5
0.67,19.7
0.675,23.2
0.68,20.0
0.685,22.4
0.69,21.9
0.695,16.8
0.7,20.5
0.705,18.1
0.71,22.8
0.715,21.9
0.72,23.1
0.725,20.1
0.73,22.5
0.735,19.5
0.74,22.1
0.745,23.3
0.75,20.8
0.755,23.1
0.76,21.5
0.765,21.2
0.77,22.4
0.775,24.5
0.78,21.1
0.785,22.8
0.79,19.7
0.795,23.4
0.8,21.7
0.805,20.3
0.81,24.3
0.815,24.0
0.82,25.3
0.825,19.6
0.83,20.3
0.835,19.0
0.84,23.8
0.845,19.3
0.85,21.5
0.855,24.6
0.86,23.1
0.865,21.0
0.87,21.0
0.875,22.1
0.88,18.7
0.885,22.3
0.89,20.3
0.895,24.5
0.9,23.5
0.905,27.2
0.91,28.6
0.915,31.0
0.92,28.7
0.925,28.0
0.93,29.3
0.935,33.1
0.94,26.9
0.945,28.0
0.95,26.0
0.955,28.5
0.96,28.3
0.965,27.2
0.97,28.6
0.975,29.5
0.98,24.1
0.985,29.1
0.99,29.5
0.995,28.4
1.0,25.4
1.005,30.0
1.01,27.9
1.015,29.3
1.02,30.0
1.025,29.2
1.03,26.6
1.035,28.2
1.04,30.0
1.045,27.2
1.05,26.9
1.055,26.4
1.06,27.9
1.065,30.5
1.07,26.3
1.075,31.2
1.08,29.2
1.085,25.8
1.09,27.4
1.095,28.8
1.1,26.5
1.105,29.8
1.11,28.0
1.115,28.6
1.12,29.8
1.125,28.4
1.13,27.2
1.135,28.5
1.14,26.8
1.145,28.2
1.15,26.5
1.155,25.5
1.16,26.1
1.165,26.7
1.17,27.2
1.175,26.5
1.18,27.7
1.185,24.4
1.19,27.4
1.195,29.0
1.2,27.7
