N,Time,hits:Mean,hits:StdDev,hits:NormalizedMean,swaps:Mean,swaps:StdDev,swaps:NormalizedMean,compares:Mean,compares:StdDev,compares:NormalizedMean,fixes:Mean,fixes:StdDev,fixes:NormalizedMean
10000,161.939417,386835.0,0.0,4.20000764767611,60035.0,0.0,0.651821730526543,150217.0,0.0,1.6309603547015195,2.5853056E7,0.0,280.6959890283939
20000,772.209917,850911.0,0.0,4.296016910639198,132134.0,0.0,0.6671084266984441,329589.0,0.0,1.6640047167807943,1.15064207E8,0.0,580.9277105141302
40000,2569.05925,1874837.0,0.0,4.423189642803275,277971.0,0.0,0.6558001832690892,777618.0,0.0,1.8345871580608861,4.33623662E8,0.0,1023.0221030590011
80000,9774.87175,3834986.0,0.0,4.246080691958756,578003.0,0.0,0.6399625391577015,1552377.0,0.0,1.7187854157331626,1.696476599E9,0.0,1878.3318977888728
160000,38328.242625,8418864.0,0.0,4.391071630841754,1303952.0,0.0,0.680109173301691,3262071.0,0.0,1.7014157047662954,-1.819483423E9,0.0,-948.9976369165896
